version,mean,median,std,min,max,days_over_80,pct_over_80,days_over_50,pct_over_50,autocorr_lag1,autocorr_lag2,autocorr_lag3,autocorr_lag4,autocorr_lag5,autocorr_lag6,autocorr_lag7
v1,51.470588235294116,52.0,32.53085742017844,3,100,9,26.47058823529412,17,50.0,-0.11381909945712122,0.048066044871857706,-0.050874963044290865,0.06430489386057126,-0.13811134412126067,-0.12807595400361305,0.0893113123682079
v2,53.0,52.0,31.283648551066843,6,100,9,26.47058823529412,17,50.0,-0.05606453058661783,0.08825492618831007,0.07563536014557022,0.15920212790655433,-0.3223902191331381,-0.08858747012666962,-0.01868425756009849
